name	name_en	geometry	rank	federal_subject	population_2023_estimate	population_2021_census	change	land_area_km2	pop_density_per_km2
Чукотский автономный округ	Chukotka Autonomous Okrug	MULTIPOLYGON (((-179.93408630000002 62.680552000000006, -180 62.875905, -180 62.5545579, -179.93408630000002 62.680552000000006)), ((180 71.7490753, 178.0561812 71.14579729999998, 178.55120190000002 70.60207119999998, 180 70.7166021, 180 70.97585, 180 71.02525, 180 71.53420000000001, 180 71.7490753)), ((-176.8169045 71.20978869999999, -177.93221990000004 71.69912300000001, -180 71.7490753, -180 71.53420000000001, -180 71.02525, -180 70.97585, -180 70.7166021, -177.6323317 70.8451569, -176.8169045 71.20978869999999)), ((-168.9769444 66.0150803, -171.3607797 67.09806390000001, -173.3565533 67.28066310000001, -180 69.2895091, -180 68.97719000000001, -180 68.97568, -180 68.9698101, -180 68.9588655, -180 68.92999640000001, -180 68.9254943, -180 68.5504098, -180 68.5128817, -180 68.3562908, -180 67.9266575, -180 67.5522267, -180 67.16813749999999, -180 66.9296325, -180 66.9138303, -180 66.893975, -180 66.6405909, -180 65.86605, -180 65.8637, -180 65.80332999999999, -180 65.47925000000001, -180 65.45421000000002, -180 65.44526000000002, -180 65.43192350000002, -180 65.408068, -180 65.3859153, -180 65.38252440000001, -180 65.360292, -180 65.33018129999999, -180 65.3243631, -180 65.3113629, -180 65.03846999999999, -180 64.74632430000001, -179.06990569999996 65.2122889, -176.74605309999995 65.35237949999998, -175.7187148 64.6183566, -172.99099980000003 64.0485921, -171.8227256 64.31052400000002, -171.55728830000004 65.30650209999999, -170.7783945 65.3004145, -169.87727800000002 65.78700590000001, -169.0305486 65.4855429, -168.9769444 66.0150803)), ((174.50239390000002 61.6078007, 177.1886539 62.3419552, 179.22487619999998 62.0830931, 180 62.5545579, 180 62.875905, 178.84581730000002 64.3231347, 180 64.74632430000001, 180 65.03846999999999, 180 65.3113629, 180 65.3243631, 180 65.33018129999999, 180 65.360292, 180 65.38252440000001, 180 65.3859153, 180 65.44526000000002, 180 65.45421000000002, 180 65.47925000000001, 180 65.80332999999999, 180 65.8637, 180 65.86605, 180 66.6405909, 180 66.893975, 180 66.9138303, 180 66.9296325, 180 67.16813749999999, 180 67.5522267, 180 67.9266575, 180 68.3562908, 180 68.5128817, 180 68.5504098, 180 68.9099376, 180 68.9254943, 180 68.92999640000001, 180 68.9588655, 180 68.9698101, 180 68.97568, 180 68.97719000000001, 180 69.2895091, 176.28155859999998 70.06686950000001, 174.687679 70.0401714, 170.61353199999996 70.3230697, 169.53496299999998 70.1046063, 167.93215940000002 70.18253499999999, 166.83917459999998 69.7074324, 164.8110986 69.76596640000001, 164.08122330000003 69.95241709999999, 162.53106019999998 69.86903829999999, 162.3478895 69.408152, 162.85520880000004 68.83122920000002, 162.44752569999997 68.28410320000002, 161.449741 68.3779357, 158.64698449999997 68.12740679999999, 158.0568028 67.8735269, 158.3639401 67.724236, 157.8100906 67.67456809999999, 157.82262050000003 67.298411, 158.96003630000004 66.7605868, 158.5434444 66.3352353, 159.23257069999997 66.23213940000001, 158.91085549999997 65.74046340000002, 160.0926818 65.5022327, 160.5019784 65.17803849999997, 161.31770419999998 65.1484907, 161.8481135 64.8246414, 163.2648238 64.69333869999998, 163.52395409999997 64.9235782, 164.224707 64.93746890000001, 164.894991 64.67464809999998, 165.13794650000003 64.85457679999999, 165.84849040000003 64.54776530000001, 167.23155299999996 64.62318259999999, 167.6876459 64.31889199999999, 168.4827236 64.31724100000001, 169.64167459999996 63.6544127, 168.46636790000002 63.083485499999995, 170.04804930000003 62.674604099999996, 170.1942938 62.29532910000001, 171.48246990000004 62.294205500000004, 172.0779099 62.465021, 172.8545321 62.34764359999999, 173.67219 62.5468191, 174.1588946 62.4242903, 174.50239390000002 61.6078007)))	82	Chukotka	47514	47490	+0.05%	721481	0.07
Томская область	Tomsk Oblast	POLYGON ((88.59755690000001 56.8021984, 88.5040841 57.12493250000001, 89.37903309999999 57.65586739999999, 89.2973812 57.9490767, 88.0169879 58.2142578, 87.92401330000001 58.5113453, 88.8286602 59.0226045, 88.62646749999999 59.295126300000014, 87.90222630000001 59.2562379, 87.51422540000003 59.66441030000001, 86.6364995 59.948653900000004, 84.68166360000002 59.899550000000005, 84.7914872 60.352366399999994, 84.26310990000002 60.862517600000004, 83.1566832 61.02679510000001, 82.1673052 60.5163396, 80.7048373 60.8027794, 79.39026640000002 60.6348629, 79.2129471 60.8262717, 77.1104824 60.8585195, 76.6648877 59.571174, 75.89866590000001 59.3999054, 75.7011482 58.9685844, 75.1312975 58.6638893, 75.10823749999999 58.5762449, 75.37683509999998 58.4541007, 75.071473 58.116792800000006, 75.5657616 57.9345851, 75.55003909999999 57.62521850000001, 76.09501460000001 57.235533300000014, 78.4634379 57.16500980000001, 79.5885764 56.923160100000004, 80.26351670000001 56.4224455, 81.2202737 56.537592800000006, 81.5734033 56.2418883, 83.1061472 56.550724499999994, 83.3151024 55.6890079, 84.45348879999999 56.0432135, 85.6845185 56.211708, 86.20462260000002 56.623997, 87.0920826 56.5343196, 87.59666460000003 56.663656, 87.6543095 56.5436072, 88.59755690000001 56.8021984))	47	Tomsk Oblast	1051998	1062666	−1.00%	314391	3.35
Приморский край	Primorsky Krai	POLYGON ((134.0056443 46.6549283, 133.02993840000002 45.051691899999994, 131.875606 45.341505, 131.48627600000003 44.966268, 130.95701900000003 44.84786099999999, 131.311365 43.395416000000004, 131.137532 42.934039, 130.39464999999998 42.724967, 130.92464700000002 42.1706361, 131.8351509 42.6644996, 133.02524970000002 42.472558400000004, 133.8189505 42.6195596, 135.31754940000002 43.3508323, 137.9121312 45.686993300000005, 139.3093931 47.31087899999999, 138.54141130000002 47.476284299999996, 138.83223230000004 47.867079399999994, 138.30799900000002 48.4645449, 137.30826720000002 48.104368, 137.6057428 47.92259800000001, 137.413487 47.8058032, 138.05633230000004 47.6958671, 138.0778571 47.5119821, 137.46518650000002 47.2094468, 137.0469939 47.28919820000001, 136.6189204 46.794980300000006, 135.361515 46.9207174, 135.0887747 47.21428399999999, 134.43210700000003 46.966705000000005, 134.4327455 46.6974972, 134.0056443 46.6549283))	26	Primorsky Krai	1820125	1845165	−1.36%	164673	11.05
Республика Карелия	Republic of Karelia	POLYGON ((37.8167399 61.5298114, 37.5475164 62.62263430000001, 36.5284674 62.79311400000001, 35.89277330000001 63.5762262, 36.455215700000004 63.6264846, 36.8475102 64.23176440000002, 35.4674113 65.00008629999999, 35.04824 66.09830269999999, 33.233307800000006 66.54937960000001, 32.587113900000006 66.5822128, 31.9369838 66.3510469, 31.5758572 66.6540029, 29.3225257 66.66286129999999, 30.138463 65.66868749999999, 29.722432799999993 65.637045, 29.6155336 64.91739120000001, 30.553903700000003 64.1324657, 29.9718828 63.757158100000005, 31.5867044 62.9087204, 29.3059283 61.3292931, 32.91469659999999 60.6795685, 33.4490509 61.003278, 33.8128408 60.9470585, 33.57575670000001 61.218895800000006, 35.697878800000005 61.2074009, 37.02997210000001 61.6142319, 37.8167399 61.5298114))	70	Karelia	527821	533121	−0.99%	180520	2.92
Архангельская область	Arkhangelsk Oblast	MULTIPOLYGON (((37.9756006 80.13513699999999, 36.8024258 80.3661705, 35.42315850000001 80.17894189999998, 36.594466999999995 79.93460130000001, 37.9756006 80.13513699999999)), ((66.6248744 80.98044879999999, 65.37108179999998 81.36583189999999, 62.8290883 81.17639849999998, 61.8925672 81.30201709999999, 64.72509029999999 81.47583979999999, 64.59377719999999 81.8265747, 62.12452530000001 81.8910486, 60.6178103 81.7065063, 59.1319315 82.05862320000001, 53.0417082 81.45461540000002, 52.7717899 80.8395851, 52.0636517 81.2620067, 50.38684309999999 81.3796486, 48.67827930000001 81.0063931, 46.5791034 81.02227879999998, 43.7329446 80.53991090000001, 47.3903461 79.8556444, 51.432325500000005 79.71435520000001, 54.7364741 80.0110738, 58.7546134 79.5723537, 60.8528563 79.77179109999999, 62.6730432 80.3998074, 65.79468340000003 80.63648099999999, 66.6248744 80.98044879999999)), ((58.5947676 70.7643953, 56.7515561 71.29219090000001, 56.257218800000004 72.3826835, 62.1047511 75.08704809999999, 68.91391730000001 76.11116320000002, 69.95722520000002 76.69493709999999, 68.93739350000001 77.14457970000001, 67.26273029999999 77.21449350000002, 63.3044739 76.50679129999999, 58.70587570000001 76.24224140000001, 55.258479900000005 75.2794532, 54.3613912 74.2551589, 53.028794100000006 73.85470509999999, 53.303015300000006 73.4863998, 50.9354654 72.10961340000001, 51.0531191 71.450134, 53.105832500000005 70.6452726, 55.150504 70.296138, 57.446829699999995 70.1632918, 58.5947676 70.7643953)), ((48.41967749999999 60.8372063, 48.474967199999995 61.02213950000001, 49.3208192 61.1527734, 49.502104 61.605036000000005, 49.04031020000001 61.648689499999996, 49.640876999999996 62.7707677, 48.7413317 62.85169989999999, 48.3522311 62.73373630000001, 48.322900700000005 62.3071531, 47.389083299999996 62.181409499999994, 47.0608946 62.826286999999994, 47.5673571 63.144878, 47.0510187 63.253905700000004, 46.809881299999994 63.756647699999995, 45.399349900000004 64.17491849999999, 47.344534499999995 64.3543896, 48.4647256 64.20432560000002, 49.5524068 64.57583149999998, 50.3606832 64.51038809999999, 50.498912200000014 64.79268350000001, 49.635408000000005 65.28799760000001, 49.0521606 65.2254529, 49.0004687 66.11357109999999, 48.08464709999999 66.1292538, 47.79741820000001 65.8378952, 47.144758100000004 65.8213054, 44.5895235 66.29757660000001, 43.20252910000001 66.96920550000002, 41.3125962 68.59766450000002, 42.3157124 66.86190040000001, 39.7296661 65.91496090000003, 38.29073540000001 65.69181300000001, 36.0189292 65.7900005, 35.04824 66.09830269999999, 35.4674113 65.00008629999999, 36.8475102 64.23176440000002, 36.455215700000004 63.6264846, 35.89277330000001 63.5762262, 36.5284674 62.79311400000001, 37.5475164 62.62263430000001, 37.8167399 61.5298114, 38.4049459 60.80672739999999, 39.18438439999999 60.6396872, 40.4289276 60.783295200000005, 41.3699251 60.641519, 41.37768309999999 60.850319999999996, 41.824641799999995 60.9163869, 43.5237345 60.76637570000001, 43.95496299999999 61.05747739999999, 45.2511365 60.894040499999996, 45.3384055 61.19511770000001, 47.072163700000004 60.84448059999999, 47.1931804 61.06739290000001, 48.41967749999999 60.8372063)))	53	Arkhangelsk Oblast[a]	964131	978873	−1.51%	413103	2.33
Мордовия	Republic of Mordovia	POLYGON ((45.813633499999995 53.97571590000001, 46.70519970000001 54.32535810000001, 46.4430232 54.7616591, 46.062037200000006 55.0477131, 45.4864021 55.1122678, 45.02639980000001 54.73595370000001, 45.096090700000005 54.4676512, 44.5861504 54.4715083, 43.3820104 54.9591967, 43.0860259 54.774787399999994, 42.4443206 54.79835400000001, 42.507043499999995 54.748991100000005, 42.433575100000006 54.793561200000006, 42.442326 54.82539860000001, 42.3891004 54.830206999999994, 42.414622599999994 54.7034749, 42.691248 54.5805068, 42.62917130000001 54.3759237, 42.164255100000005 54.258241399999996, 42.6890737 54.129277900000005, 42.261957300000006 54.0876559, 42.35096939999999 53.853729099999995, 42.727085 53.7394945, 43.5363672 54.014555200000004, 44.49897590000001 53.6431667, 44.832570200000006 53.9640607, 45.813633499999995 53.97571590000001))	58	Mordovia	771086	783552	−1.59%	26128	29.51
Ульяновская область	Ulyanovsk Oblast	POLYGON ((48.428632400000005 52.814406899999994, 48.584512800000006 52.901057699999996, 48.12315070000001 53.0515709, 47.935196100000006 53.366861199999995, 48.3693885 53.4738506, 48.48891030000001 53.7706627, 50.0358574 53.8191459, 50.0924594 54.506599800000004, 49.5601472 54.562065000000004, 49.288298600000005 54.8914462, 48.88174139999999 54.625206000000006, 48.10341520000001 54.76652320000001, 47.4245617 54.49854520000001, 47.355589499999994 54.627395400000005, 47.29080870000001 54.67426739999999, 47.2678667 54.6734858, 46.4430232 54.7616591, 46.70519970000001 54.32535810000001, 45.813633499999995 53.97571590000001, 46.908163300000005 53.3626054, 46.8010702 52.6208276, 47.72409520000001 52.56843870000001, 47.831697899999995 52.74321880000001, 48.428632400000005 52.814406899999994))	38	Ulyanovsk Oblast	1180725	1196745	−1.34%	37181	31.76
Волгоградская область	Volgograd Oblast	POLYGON ((47.4314503 50.3779161, 46.718491300000004 50.7114924, 46.27841300000001 50.5276966, 45.8422659 50.75617820000001, 45.6843449 50.5756236, 45.19255350000001 50.585635200000006, 45.30488109999999 50.913985399999994, 44.865186300000005 51.1712131, 43.35707539999999 50.998831800000005, 42.88089399999999 51.23302520000001, 41.9280966 51.194125400000004, 41.168873700000006 50.776314500000005, 41.539096900000004 50.574381499999994, 41.400994499999996 50.20280590000001, 42.17391810000001 49.69410510000001, 42.02111220000001 49.1338348, 42.339804199999996 49.1392641, 42.74780739999999 48.822528600000005, 42.704482 48.5865981, 42.085691 48.415705800000005, 42.01813130000001 48.023923800000006, 42.525201700000004 48.01864449999999, 42.924990300000005 47.507355700000005, 43.711218 47.4742256, 43.7168348 47.7190015, 44.392011800000006 47.889482799999996, 44.3264088 48.23879680000001, 44.80976739999999 48.0506324, 44.96097830000001 48.27085580000001, 46.017229199999996 48.861627999999996, 46.621673900000005 48.66806570000001, 47.0511394 49.16559180000001, 46.7820865 49.339827099999994, 46.902472100000004 49.863851499999996, 47.4314503 50.3779161))	18	Volgograd Oblast	2468877	2500781	−1.28%	112877	21.87
Астраханская область	Astrakhan Oblast	POLYGON ((47.8268033 45.262264200000004, 48.8486338 45.4345437, 49.886117 46.045769, 48.547941099999996 46.55726639999999, 48.5352615 46.70614690000001, 48.997125200000006 46.7430848, 48.5206406 47.4115724, 48.11371890000001 47.743257, 47.19408 47.76050370000001, 47.123760600000004 48.269529000000006, 46.492161 48.433618700000004, 46.621673900000005 48.66806570000001, 46.017229199999996 48.861627999999996, 44.96097830000001 48.27085580000001, 45.7566315 48.001332600000005, 46.2672072 47.4207447, 46.8731427 47.548898, 46.5362576 47.4034067, 46.962177600000004 46.9742199, 46.964672900000004 46.4454705, 46.4008324 46.320618100000004, 46.295432300000016 45.9144253, 46.8140589 45.5653878, 47.5203414 45.66065530000001, 47.8268033 45.262264200000004))	54	Astrakhan Oblast	950389	960142	−1.02%	49024	19.39
Курская область	Kursk Oblast	POLYGON ((38.2885841 51.29635160000001, 38.139101000000004 51.6392831, 38.5192703 51.7479711, 38.29261060000001 51.9659404, 37.738034500000005 52.019084299999996, 37.425341 51.9349918, 36.322661 52.3819021, 35.65422469999999 52.247109, 35.599051200000005 52.441498499999994, 34.924192600000005 52.369987699999996, 34.3855484 51.8430753, 34.0807655 51.665699800000006, 34.230791200000006 51.26540690000001, 35.15048099999999 51.22343320000001, 35.351633899999996 50.97402459999999, 35.8330063 50.9407379, 36.0529095 51.16697090000001, 36.5974949 51.0658797, 37.383742399999996 51.384521199999995, 38.2885841 51.29635160000001))	46	Kursk Oblast	1066341	1082458	−1.49%	29997	35.55
Воронежская область	Voronezh Oblast	POLYGON ((42.88089399999999 51.23302520000001, 42.5208613 51.596121700000005, 41.4821914 51.804556999999996, 41.0024911 51.7161817, 40.5341401 51.945692300000005, 39.81612439999999 51.9202915, 39.29977190000001 52.1031845, 38.29261060000001 51.9659404, 38.5192703 51.7479711, 38.139101000000004 51.6392831, 38.2885841 51.29635160000001, 38.5193896 51.2110233, 38.38811270000001 51.07684739999999, 38.856455399999994 51.0360036, 38.711481799999994 50.791979700000006, 39.1192702 50.6245934, 39.1799425 49.8888021, 39.806039999999996 49.55795, 40.13539170000001 49.617102100000004, 40.9210054 49.700487599999995, 41.400994499999996 50.20280590000001, 41.539096900000004 50.574381499999994, 41.168873700000006 50.776314500000005, 41.9280966 51.194125400000004, 42.88089399999999 51.23302520000001))	21	Voronezh Oblast	2284671	2308792	−1.04%	52216	43.75
Ярославская область	Yaroslavl Oblast	POLYGON ((40.43046399999999 57.2858292, 40.5976725 57.8971095, 41.19349820000001 58.3410022, 40.9300717 58.57633560000001, 40.2040018 58.5492585, 39.6041195 58.9049253, 38.989808 58.9560117, 38.923262900000005 58.733331500000006, 38.064554300000005 58.73011100000001, 37.6282216 58.4829437, 37.3279086 58.236644399999996, 37.7149825 58.077987699999994, 37.33124409999999 57.8793432, 37.871114399999996 57.399163800000004, 38.3025819 57.3586358, 38.2442987 56.7934634, 38.318130700000005 56.658578000000006, 39.2730244 56.5366738, 39.4020479 56.771016200000005, 39.6308436 57.0740305, 40.43046399999999 57.2858292))	37	Yaroslavl Oblast	1194535	1209811	−1.26%	36177	33.02
Новосибирская область	Novosibirsk Oblast	POLYGON ((77.9065061 53.291410000000006, 77.91578799999999 53.571123300000004, 78.3645362 53.475295100000004, 79.42194 53.67821200000001, 80.9517095 54.375622, 81.5403908 53.905841699999996, 81.82960849999999 53.965494, 81.81838179999998 53.68525090000001, 82.5663872 53.4984936, 83.1980567 54.065828100000004, 83.3555657 53.932337700000005, 83.5541405 54.1092291, 84.44525970000002 54.138940000000005, 85.1161717 54.4386068, 84.45348879999999 56.0432135, 83.3151024 55.6890079, 83.1061472 56.550724499999994, 81.5734033 56.2418883, 81.2202737 56.537592800000006, 80.26351670000001 56.4224455, 79.5885764 56.923160100000004, 78.4634379 57.16500980000001, 76.09501460000001 57.235533300000014, 76.2891273 56.696968000000005, 75.83132990000001 56.417848299999996, 76.10800769999999 56.446056, 76.306639 56.1572458, 75.7315793 56.11263530000001, 75.08801 55.72683020000001, 75.33207889999998 54.911162, 75.8518465 54.6075912, 75.68877719999998 54.12262520000001, 76.9289614 54.45776789999999, 76.50409970000001 54.0317861, 77.9065061 53.291410000000006))	15	Novosibirsk Oblast	2794315	2797176	−0.10%	177756	15.72
Ненецкий автономный округ	Nenets Autonomous Okrug	MULTIPOLYGON (((50.8713315 69.12391099999999, 49.6831974 69.64878829999998, 48.7068093 69.67505079999998, 47.798264200000006 69.3250836, 47.72804280000001 68.7153314, 48.282684499999995 68.52422720000001, 49.6738243 68.47756530000001, 50.8713315 69.12391099999999)), ((65.47401690000001 68.41795450000002, 65.3988332 68.7926358, 64.55726070000001 68.86761560000002, 64.96504420000001 69.56391920000002, 60.66971270000001 70.12286679999998, 58.5947676 70.7643953, 57.446829699999995 70.1632918, 59.6608917 69.46958500000001, 60.230213000000006 68.8990335, 59.67819920000001 69.37836079999998, 58.396153600000005 69.67777999999998, 57.9088191 69.42638749999999, 58.5184643 69.1380093, 57.629564200000004 68.96766350000003, 53.70592250000001 69.1499475, 50.7549825 68.63773729999998, 49.02041320000001 68.0515873, 47.1112919 68.0329866, 46.3647085 68.58711950000001, 43.4924414 68.8673593, 41.3125962 68.59766450000002, 43.20252910000001 66.96920550000002, 44.5895235 66.29757660000001, 47.144758100000004 65.8213054, 47.79741820000001 65.8378952, 48.08464709999999 66.1292538, 49.0004687 66.11357109999999, 51.54494739999999 66.77497460000001, 52.1522299 67.10117199999999, 55.40839080000001 67.00038149999999, 61.6010107 66.99221920000002, 62.8656016 67.3700197, 63.153326 67.69441460000002, 63.7580262 67.7244008, 64.689601 68.3946011, 65.47401690000001 68.41795450000002)))	83	Nenets A.O.	41454	41434	+0.05%	176810	0.23
Республика Коми	Komi Republic	POLYGON ((62.0004438 65.71773560000001, 62.8230843 65.86661480000001, 63.4184823 66.46661720000002, 65.13129640000001 66.90450150000001, 65.1813657 67.15002340000001, 66.01017879999999 67.40910790000001, 65.7857897 67.6420544, 66.25168590000001 67.7339129, 66.0766097 67.93881400000001, 65.35490340000001 67.95239509999999, 65.47401690000001 68.41795450000002, 64.689601 68.3946011, 63.7580262 67.7244008, 63.153326 67.69441460000002, 62.8656016 67.3700197, 61.6010107 66.99221920000002, 55.40839080000001 67.00038149999999, 52.1522299 67.10117199999999, 51.54494739999999 66.77497460000001, 49.0004687 66.11357109999999, 49.0521606 65.2254529, 49.635408000000005 65.28799760000001, 50.498912200000014 64.79268350000001, 50.3606832 64.51038809999999, 49.5524068 64.57583149999998, 48.4647256 64.20432560000002, 47.344534499999995 64.3543896, 45.399349900000004 64.17491849999999, 46.809881299999994 63.756647699999995, 47.0510187 63.253905700000004, 47.5673571 63.144878, 47.0608946 62.826286999999994, 47.389083299999996 62.181409499999994, 48.322900700000005 62.3071531, 48.3522311 62.73373630000001, 48.7413317 62.85169989999999, 49.640876999999996 62.7707677, 49.04031020000001 61.648689499999996, 49.502104 61.605036000000005, 49.3208192 61.1527734, 48.474967199999995 61.02213950000001, 48.41967749999999 60.8372063, 48.7850891 60.352692, 48.5232237 59.7068443, 49.101547399999994 59.661698900000005, 49.5238455 59.216619900000005, 49.817400199999994 59.21053520000001, 49.9868683 59.76970680000001, 51.1790655 60.0488917, 51.467194 59.915572600000004, 51.97386939999999 60.27933390000001, 52.317282299999995 60.227188000000005, 52.355027799999995 60.4380924, 51.7715414 60.57991200000001, 51.892312300000015 60.881543099999995, 52.3609435 60.829175400000004, 52.8707305 61.09013110000001, 53.66397690000001 60.8471196, 53.8758313 60.982651, 54.9768506 60.859908, 55.2758778 61.14871320000001, 56.274500700000004 61.19185830000001, 56.6531242 61.524300100000005, 58.84388179999999 61.4950446, 59.3489689 61.6630673, 59.4866989 61.9460689, 59.635446800000004 62.5484543, 59.20379390000001 63.027596700000004, 59.8369472 64.08714420000001, 59.62463210000001 64.8032661, 60.2178509 65.07934089999999, 60.729440200000006 64.9255054, 62.0004438 65.71773560000001))	61	Komi Republic	725969	737853	−1.61%	416774	1.74
Омская область	Omsk Oblast	POLYGON ((75.68877719999998 54.12262520000001, 75.8518465 54.6075912, 75.33207889999998 54.911162, 75.08801 55.72683020000001, 75.7315793 56.11263530000001, 76.306639 56.1572458, 76.10800769999999 56.446056, 75.83132990000001 56.417848299999996, 76.2891273 56.696968000000005, 76.09501460000001 57.235533300000014, 75.55003909999999 57.62521850000001, 75.5657616 57.9345851, 75.071473 58.116792800000006, 75.37683509999998 58.4541007, 75.10823749999999 58.5762449, 74.2196308 58.1362977, 73.12828749999998 58.1553042, 72.8115362 57.9967477, 71.2135228 58.0531576, 71.3115762 58.3834537, 70.85277389999999 58.529270600000004, 70.35838159999999 57.901292999999995, 70.6856931 57.515540900000005, 70.37234919999999 57.329436900000005, 70.68925300000001 57.19955670000001, 71.0068122 57.377302900000004, 71.67732889999999 56.76522320000001, 71.02038239999999 56.6829541, 70.7354584 56.4245891, 70.91382850000001 56.085713000000005, 70.4806123 55.9059668, 70.82871289999999 55.8346168, 70.5504867 55.79174890000001, 70.75697229999999 55.5847221, 70.46119770000001 55.285825900000006, 70.8161 55.288000000000004, 71.29360000000001 54.6662, 71.1999 54.3077, 70.9983 54.3338, 71.17519999999999 54.09210000000001, 71.72269999999999 54.1038, 71.7555 54.2522, 72.17429999999999 54.12230000000001, 72.0126 54.3693, 72.51750000000001 54.1406, 72.43050000000001 53.9141, 72.7052 53.9565, 72.6087934 54.1368406, 73.3 53.9431, 73.7678789 54.05382149999999, 73.2530578 53.674061699999996, 73.438715 53.4354965, 73.90114700000001 53.65122139999999, 74.3905984 53.4559828, 74.4584161 53.69093220000001, 75.68877719999998 54.12262520000001))	25	Omsk Oblast	1831881	1858798	−1.45%	141140	12.98
Башкортостан	Bashkortostan	POLYGON ((58.85492669999999 52.4258061, 58.9106186 53.92877190000001, 59.325654300000004 54.1877931, 59.7079825 54.1416393, 60.0018089 54.8641348, 59.617975900000005 54.9061115, 59.2662835 54.611518700000005, 57.9836007 54.396357300000005, 57.14108769999999 54.85244899999999, 57.131287699999994 55.0850495, 57.53010080000001 55.3370193, 58.1366176 55.2111268, 58.005081499999996 54.90615280000001, 58.24870090000001 55.1707911, 58.7270877 54.967863799999996, 58.709419700000005 55.279673900000006, 59.654930300000004 55.5918947, 59.2496461 55.5814599, 59.33263530000001 56.1646826, 59.0418325 56.1718059, 57.5976238 56.0853868, 57.4062372 56.3426599, 56.92133330000001 56.1038833, 56.5326315 56.3970311, 55.18575030000001 56.30480969999999, 54.577733 56.534643499999994, 54.377579 56.3787016, 53.6974777 55.92559830000001, 54.265697100000004 55.7037564, 53.616626 55.214322800000005, 53.1582942 55.16571650000001, 53.6493044 54.9065858, 53.5006057 54.0561286, 54.15167099999999 53.387977899999996, 54.8366589 53.273742600000006, 55.13817200000001 52.811918399999996, 55.4002079 52.8292636, 55.21892290000001 52.7236654, 55.525096600000005 52.387560099999995, 55.8234173 52.364961699999995, 56.0360318 52.6470308, 56.44494099999999 52.593953000000006, 56.201351800000005 52.140201399999995, 56.7045979 52.0600578, 56.73117510000001 51.586755100000005, 56.8424808 51.76477270000001, 57.2109261 51.571272, 57.65532890000001 51.8688104, 58.5749052 51.771697399999994, 58.85492669999999 52.4258061))	7	Bashkortostan	4080684	4091423	−0.26%	142947	28.55
Оренбургская область	Orenburg Oblast	POLYGON ((50.76816280000001 51.773036600000005, 51.380205999999994 51.6412431, 51.3801758 51.4761548, 52.35866959999999 51.775898600000005, 52.5458791 51.460107900000004, 53.426415500000004 51.482231, 54.5342429 50.848922200000004, 54.5436939 50.527415600000005, 54.591044 51.0296014, 55.736147 50.550224199999995, 56.5135142 51.086001399999994, 56.72139380000001 50.974322300000004, 57.184863699999994 51.114933, 57.507027799999996 50.8759514, 57.7710682 51.13835430000001, 58.3244751 51.1637695, 58.6569681 50.8087994, 59.478170000000006 50.6417692, 59.509934900000005 50.494756900000006, 60.0153456 50.8219131, 60.80864739999999 50.656299399999995, 61.449163 50.8063336, 61.689558000000005 51.255677, 60.41554 51.6470009, 60.518456 51.797917000000005, 60.00168699999999 51.993295, 60.16299790000001 52.4001195, 59.2640905 52.483909, 59.165673700000006 52.27650250000001, 58.85492669999999 52.4258061, 58.5749052 51.771697399999994, 57.65532890000001 51.8688104, 57.2109261 51.571272, 56.8424808 51.76477270000001, 56.73117510000001 51.586755100000005, 56.7045979 52.0600578, 56.201351800000005 52.140201399999995, 56.44494099999999 52.593953000000006, 56.0360318 52.6470308, 55.8234173 52.364961699999995, 55.525096600000005 52.387560099999995, 55.21892290000001 52.7236654, 55.4002079 52.8292636, 55.13817200000001 52.811918399999996, 54.8366589 53.273742600000006, 54.15167099999999 53.387977899999996, 53.5006057 54.0561286, 53.062389 54.06537680000001, 53.0562969 54.3527385, 52.568276000000004 54.3401279, 52.0783614 53.4987885, 52.1622667 53.0877586, 51.471709499999996 52.628533800000014, 51.3914202 52.0692577, 50.76816280000001 51.773036600000005))	24	Orenburg Oblast	1841601	1862767	−1.14%	123702	14.89
Еврейская автономная область	Jewish Autonomous Oblast	POLYGON ((134.7671243 48.37120109999999, 134.95061660000002 48.62655730000001, 133.5892766 48.72950260000001, 133.05522670000002 49.2146386, 132.3850112 49.29599310000001, 132.24097559999996 49.4891827, 131.98862840000004 49.255894, 131.42002810000002 49.255453100000004, 130.6299698 48.881454299999994, 130.5210615 48.6131615, 130.83564690000003 48.301677999999995, 130.6544234 48.09596820000001, 131.02646860000002 47.6879429, 132.5487282 47.7143226, 133.0494733 48.1048743, 134.7671243 48.37120109999999))	80	Jewish Autonomous Oblast	147432	150453	−2.01%	36271	4.06
