name	name_en	geometry	rank	federal_subject	population_2023_estimate	population_2021_census	change	land_area_km2	pop_density_per_km2
Севастополь	Sevastopol	POLYGON ((33.696591000000005 44.191039700000005, 33.8971535 44.4787873, 33.29518710000001 44.9405202, 33.110305600000004 44.5059764, 33.696591000000005 44.191039700000005))							
Ингушетия	Ingushetia	POLYGON ((45.086794 42.712221, 45.158521 43.4110355, 44.8479393 43.56553380000001, 44.4807386 43.5158439, 44.9600242 43.041069099999994, 44.6799687 42.755909900000006, 44.803788 42.61473, 45.086794 42.712221))	71	Ingushetia	518952	509541	+1.85%	3628	166.17
Тверская область	Tver Oblast	POLYGON ((38.2442987 56.7934634, 38.3025819 57.3586358, 37.871114399999996 57.399163800000004, 37.33124409999999 57.8793432, 37.7149825 58.077987699999994, 37.3279086 58.236644399999996, 37.6282216 58.4829437, 37.070959300000005 58.86313930000001, 36.18168239999999 58.51164959999999, 35.3039366 58.4097689, 34.6716455 58.0734704, 33.705873700000005 58.170305000000006, 33.2400436 57.411425799999996, 32.78857970000001 57.467192100000005, 31.3961943 56.9093961, 30.978756799999996 56.969897399999994, 30.728386799999996 56.7807657, 31.517860300000006 56.3060893, 31.483133699999996 55.718642300000006, 33.1172367 55.636496300000005, 33.8636135 56.0598239, 35.1484955 55.9575013, 35.4342706 56.4586556, 36.088667099999995 56.335661699999996, 37.0555477 56.526247, 37.0668314 56.755621399999995, 37.69830690000001 56.958511800000004, 38.2442987 56.7934634))	36	Tver Oblast	1210692	1230171	−1.58%	84201	14.38
Сахалинская область	Sakhalin Oblast	MULTIPOLYGON (((141.5598689 46.26873410000001, 141.18959809999998 46.490574200000005, 140.92599180000002 46.1996647, 141.27599449999997 46.0240778, 141.5598689 46.26873410000001)), ((156.3093053 51.071689199999994, 155.21397239999996 51.0274713, 155.39102040000003 50.5560049, 154.1264451 49.8978782, 154.2179248 49.294117500000006, 153.21797279999998 49.09870210000001, 153.27486569999994 48.5003462, 152.97453449999998 48.3958205, 152.63401199999998 47.704134, 151.46114080000004 46.94918, 151.57143150000002 46.623436100000006, 152.00353429999998 46.62041980000001, 153.04881930000002 47.37388439999999, 153.56908569999996 48.2845997, 154.02999730000002 48.3707113, 154.8191204 48.9599681, 155.22114130000003 49.6597394, 156.83176790000002 50.6867341, 156.3093053 51.071689199999994)), ((151.20800069999999 46.5435095, 150.920294 46.892723800000006, 150.57101459999998 46.9105637, 150.3649049 46.4274737, 149.20086899999998 45.7576543, 147.7978226 45.61788709999999, 146.7248315 44.75165, 145.9473717 44.6602491, 145.27875089999998 43.73555670000001, 146.0592882 43.1775632, 146.3154812 43.2449073, 147.14040930000002 43.7035844, 147.17814130000002 44.3029683, 147.5598661 44.5738107, 149.8359796 45.4630827, 151.20800069999999 46.5435095)), ((141.41440459999998 51.56133280000001, 141.9309524 51.0780935, 141.5453246 48.766603200000006, 141.8779502 48.05251290000001, 141.5209197 46.527875, 141.71642690000002 45.742254900000006, 142.2917675 45.6560784, 142.58802130000004 46.335875900000005, 142.93380459999997 46.4073699, 143.4177669 45.8205662, 143.8986927 46.329602200000004, 143.7381759 46.91394939999999, 142.82343130000004 47.7960415, 143.31056149999998 49.06675560000001, 143.8947291 49.07677270000001, 144.57161069999998 48.4505261, 145.0501452 48.6525345, 144.09490569999997 50.368394, 143.4791033 52.06831450000001, 143.66346519999996 52.8595408, 142.95612080000004 54.568768600000006, 141.99501 54.4361234, 142.30717930000003 53.843466899999996, 141.4682567 53.59107830000001, 141.708374 53.2382876, 141.41440459999998 51.56133280000001)))	75	Sakhalin Oblast	459985	466609	−1.42%	87101	5.28
Калужская область	Kaluga Oblast	POLYGON ((37.26870910000001 54.84180149999999, 37.045631900000004 55.1421745, 36.9372397 55.241390700000004, 35.33422149999999 55.271752000000006, 34.435542600000005 54.510293399999995, 33.649148000000004 54.507816399999996, 33.5071262 54.0162959, 34.2011817 53.912152400000004, 34.637942800000005 53.38316139999999, 35.1410996 53.27912260000001, 35.9911887 53.62627280000001, 35.898555400000006 53.8501821, 36.2190078 54.069970600000005, 35.98086669999999 54.19241950000001, 36.9668461 54.29165820000001, 36.8949683 54.563494, 37.26870910000001 54.84180149999999))	45	Kaluga Oblast	1070264	1069904	+0.03%	29777	35.94
Самарская область	Samara Oblast	POLYGON ((50.76816280000001 51.773036600000005, 51.3914202 52.0692577, 51.471709499999996 52.628533800000014, 52.1622667 53.0877586, 52.0783614 53.4987885, 52.568276000000004 54.3401279, 52.431903399999996 54.474154, 52.09254250000001 54.32830200000001, 51.388873 54.677156200000006, 50.95126049999999 54.3426393, 50.0924594 54.506599800000004, 50.0358574 53.8191459, 48.48891030000001 53.7706627, 48.3693885 53.4738506, 47.935196100000006 53.366861199999995, 48.12315070000001 53.0515709, 48.584512800000006 52.901057699999996, 48.428632400000005 52.814406899999994, 48.30789749999999 52.683012000000005, 48.8817148 52.40825220000001, 49.570031 52.39593580000001, 50.76816280000001 51.773036600000005))	11	Samara Oblast	3142152	3172925	−0.97%	53565	58.66
Ивановская область	Ivanovo Oblast	POLYGON ((42.6141822 56.4067341, 42.89728709999999 56.4703421, 42.8708136 56.8094286, 43.3005965 56.8208312, 43.086268 57.147873399999995, 43.303310800000006 57.42873660000001, 43.1857677 57.577288599999996, 42.88478969999999 57.3743596, 42.82850290000001 57.682636300000006, 42.21053990000001 57.55486619999999, 41.601877699999996 57.740503800000006, 41.5673867 57.4525305, 40.43046399999999 57.2858292, 39.6308436 57.0740305, 39.4020479 56.771016200000005, 39.8980776 56.772226100000005, 40.19282090000001 56.4357862, 40.565085200000006 56.6032884, 42.6141822 56.4067341))	55	Ivanovo Oblast	914493	927828	−1.44%	21437	42.66
Орловская область	Oryol Oblast	POLYGON ((37.738034500000005 52.019084299999996, 38.0672135 52.3302132, 37.72216880000001 52.5948457, 37.8664693 53.0122167, 37.590463 53.278939400000006, 36.784136000000004 53.29581460000001, 35.9911887 53.62627280000001, 35.1410996 53.27912260000001, 35.28638230000001 53.0219672, 34.791971200000006 52.865706, 35.1117912 52.6976832, 34.924192600000005 52.369987699999996, 35.599051200000005 52.441498499999994, 35.65422469999999 52.247109, 36.322661 52.3819021, 37.425341 51.9349918, 37.738034500000005 52.019084299999996))	62	Oryol Oblast	699998	713374	−1.88%	24652	28.4
Смоленская область	Smolensk Oblast	POLYGON ((35.33422149999999 55.271752000000006, 35.1484955 55.9575013, 33.8636135 56.0598239, 33.1172367 55.636496300000005, 31.483133699999996 55.718642300000006, 30.925132399999995 55.62262520000001, 31.027887600000003 55.062307600000004, 30.75451 54.80504, 31.1955591 54.6590772, 31.317820000000005 54.24414, 31.8947885 54.086817599999996, 31.761219499999996 53.79616180000001, 32.4606829 53.7376525, 32.76278090000001 53.4242773, 33.5071262 54.0162959, 33.649148000000004 54.507816399999996, 34.435542600000005 54.510293399999995, 35.33422149999999 55.271752000000006))	57	Smolensk Oblast	873451	888421	−1.69%	49779	17.55
Тульская область	Tula Oblast	POLYGON ((38.9375218 53.5741746, 38.665981800000004 54.256714, 38.45664439999999 54.6535882, 37.26870910000001 54.84180149999999, 36.8949683 54.563494, 36.9668461 54.29165820000001, 35.98086669999999 54.19241950000001, 36.2190078 54.069970600000005, 35.898555400000006 53.8501821, 35.9911887 53.62627280000001, 36.784136000000004 53.29581460000001, 37.590463 53.278939400000006, 37.8664693 53.0122167, 38.565862900000006 52.9910798, 38.5315744 53.3076191, 38.9375218 53.5741746))	31	Tula Oblast	1479294	1501214	−1.46%	25679	57.61
